pergunta,resposta,sinonimos,resposta_original
4NET,Categoria sugerida: 4NET,4net;,Lançar em INPUT_DESPESA → categoria '4NET' (DRE: 4NET).
Acordo Cliente,Categoria sugerida: Acordo Cliente,acordo cliente;acordo;cliente;;,Lançar em INPUT_DESPESA → categoria 'Acordo Cliente' (DRE: Acordo Cliente).
Adiantamento,Categoria sugerida: Adiantamento,adiantamento;,Lançar em INPUT_DESPESA → categoria 'Adiantamento' (DRE: Adiantamento).
Adiantamento (Comercial),Categoria sugerida: Adiantamento (Comercial),adiantamento (comercial);adiantamento;comercial;,Lançar em INPUT_DESPESA → categoria 'Adiantamento (Comercial)' (DRE: Comercial).
Adiantamento (Jurídico),Categoria sugerida: Adiantamento (Jurídico),adiantamento (jurídico);adiantamento;jurídico;,Lançar em INPUT_DESPESA → categoria 'Adiantamento (Jurídico)' (DRE: Jurídico).
Advogado,Categoria sugerida: Advogado,advogado;advogado;advogados;advo;,Lançar em INPUT_DESPESA → categoria 'Advogado' (DRE: Advogado).
Agendamento Audiência,Categoria sugerida: Agendamento Audiência,agendamento audiência;agendamento;audiência;audiencia;,Lançar em INPUT_DESPESA → categoria 'Agendamento Audiência' (DRE: Agendamento Audiência).
Àgua,Categoria sugerida: Àgua,àgua;agua;,Lançar em INPUT_DESPESA → categoria 'Àgua' (DRE: Àgua).
algar,Categoria sugerida: algar,algar;,Lançar em INPUT_DESPESA → categoria 'algar' (DRE: algar).
Aluguel,Categoria sugerida: Aluguel,aluguel;,Lançar em INPUT_DESPESA → categoria 'Aluguel' (DRE: Aluguel).
Aluguel das Máquinas,Categoria sugerida: Aluguel das Máquinas,aluguel das máquinas;aluguel;das;máquinas;aluguel das maquinas;,Lançar em INPUT_DESPESA → categoria 'Aluguel das Máquinas' (DRE: Aluguel das Máquinas).
Aluguel Toalhas Mesas,Categoria sugerida: Aluguel Toalhas Mesas,aluguel toalhas mesas;aluguel;toalhas;mesas;aluguel toalhas;,Lançar em INPUT_DESPESA → categoria 'Aluguel Toalhas Mesas' (DRE: Aluguel Toalhas Mesas).
B.Brasil,Categoria sugerida: B.Brasil,b.brasil;b;brasil;banco do brasil;,Lançar em INPUT_DESPESA → categoria 'B.Brasil' (DRE: B.Brasil).
Beneficíos,Categoria sugerida: Beneficíos,beneficíos;benefícios;,Lançar em INPUT_DESPESA → categoria 'Beneficíos' (DRE: Beneficíos).
Benfeitorias que ficarão no imoveis,Categoria sugerida: Benfeitorias que ficarão no imoveis,benfeitorias que ficarão no imoveis;benfeitorias;que;ficarão;no;imoveis;imovel;,Lançar em INPUT_DESPESA → categoria 'Benfeitorias que ficarão no imoveis' (DRE: Benfeitorias que ficarão no imoveis).
Bradesco,Categoria sugerida: Bradesco,bradesco;banco bradesco;banco do bradesco;;,Lançar em INPUT_DESPESA → categoria 'Bradesco' (DRE: Bradesco).
Caixa,Categoria sugerida: Caixa,caixa;,Lançar em INPUT_DESPESA → categoria 'Caixa' (DRE: Caixa).
Caixa do grupo,Categoria sugerida: Caixa do grupo,caixa do grupo;caixa;do;grupo;,Lançar em INPUT_DESPESA → categoria 'Caixa do grupo' (DRE: Caixa do grupo).
Caixa UOP,Categoria sugerida: Caixa UOP,caixa uop;caixa;uop;,Lançar em INPUT_DESPESA → categoria 'Caixa UOP' (DRE: Caixa UOP).
Carros,Categoria sugerida: Carros,carros;Carro;CARROS;CARRO;,Lançar em INPUT_DESPESA → categoria 'Carros' (DRE: Carros).
Cartão de Crédito,Categoria sugerida: Cartão de Crédito,cartão de crédito;cartão;de;crédito;,Lançar em INPUT_DESPESA → categoria 'Cartão de Crédito' (DRE: Cartão de Crédito).
Chargeback,Categoria sugerida: Chargeback,chargeback;cbk;cb;,Lançar em INPUT_DESPESA → categoria 'Chargeback' (DRE: Chargeback).
Cliksing,Categoria sugerida: Cliksing,cliksing;,Lançar em INPUT_DESPESA → categoria 'Cliksing' (DRE: Cliksing).
Combustível,Categoria sugerida: Combustível,combustível;,Lançar em INPUT_DESPESA → categoria 'Combustível' (DRE: Combustível).
Comercial,Categoria sugerida: Comercial,comercial;,Lançar em INPUT_DESPESA → categoria 'Comercial' (DRE: Comercial).
Comissão,Categoria sugerida: Comissão,comissão;,Lançar em INPUT_DESPESA → categoria 'Comissão' (DRE: Comissão).
Comissão (Comercial),Categoria sugerida: Comissão (Comercial),comissão (comercial);comissão;comercial;,Lançar em INPUT_DESPESA → categoria 'Comissão (Comercial)' (DRE: Comercial).
