pergunta,resposta,sinonimos,resposta_original
pergunta,Categoria sugerida: Pergunta,sinonimos;;;;;;,resposta
4net,Categoria sugerida: 4NET,4net;;;;;;,Lançar em INPUT_DESPESA → categoria '4NET' (DRE: 4NET).
acordo cliente,Categoria sugerida: Acordo Cliente,acordo;cliente;acordo cliente;acordo;cliente;;;;,Lançar em INPUT_DESPESA → categoria 'Acordo Cliente' (DRE: Acordo Cliente).
adiantamento,Categoria sugerida: Adiantamento,adiantamento;;;;;;,Lançar em INPUT_DESPESA → categoria 'Adiantamento' (DRE: Adiantamento).
adiantamento (comercial),Categoria sugerida: Adiantamento (Comercial),adiantamento;comercial;adiantamento (comercial);adiantamento;comercial;;;;,Lançar em INPUT_DESPESA → categoria 'Adiantamento (Comercial)' (DRE: Comercial).
adiantamento (jurídico),Categoria sugerida: Adiantamento (Jurídico),adiantamento;jurídico;adiantamento (jurídico);adiantamento;jurídico;;;;,Lançar em INPUT_DESPESA → categoria 'Adiantamento (Jurídico)' (DRE: Jurídico).
advogado,Categoria sugerida: Advogado,advogado;advogados;advogado;advogado;advogados;;;;,Lançar em INPUT_DESPESA → categoria 'Advogado' (DRE: Advogado).
agendamento audiência,Categoria sugerida: Agendamento Audiência,agendamento;audiência;audiencia;agendamento audiência;agendamento;audiência;audiencia;;;,Lançar em INPUT_DESPESA → categoria 'Agendamento Audiência' (DRE: Agendamento Audiência).
àgua,Categoria sugerida: Àgua,agua;àgua;agua;;;;;,Lançar em INPUT_DESPESA → categoria 'Àgua' (DRE: Àgua).
algar,Categoria sugerida: Algar,algar;;;;;;,Lançar em INPUT_DESPESA → categoria 'algar' (DRE: algar).
aluguel,Categoria sugerida: Aluguel,aluguel;;;;;;,Lançar em INPUT_DESPESA → categoria 'Aluguel' (DRE: Aluguel).
aluguel das máquinas,Categoria sugerida: Aluguel das Máquinas,aluguel;das;máquinas;aluguel das maquinas;aluguel das máquinas;aluguel;das;máquinas;aluguel das maquinas;;,Lançar em INPUT_DESPESA → categoria 'Aluguel das Máquinas' (DRE: Aluguel das Máquinas).
aluguel toalhas mesas,Categoria sugerida: Aluguel Toalhas Mesas,aluguel;toalhas;mesas;aluguel toalhas;aluguel toalhas mesas;aluguel;toalhas;mesas;aluguel toalhas;;,Lançar em INPUT_DESPESA → categoria 'Aluguel Toalhas Mesas' (DRE: Aluguel Toalhas Mesas).
b.brasil,Categoria sugerida: B.Brasil,b;brasil;banco do brasil;b.brasil;b;brasil;banco do brasil;;;,Lançar em INPUT_DESPESA → categoria 'B.Brasil' (DRE: B.Brasil).
